prix en MAD,surface en m²,nombre des pièces,nombre des chambres,numéro d'étage,emplacementMap
15000.0,170,5,3,1,0
8500.0,95,3,2,3,1
10000.0,140,4,3,2,2
3700.0,80,3,2,2,3
6500.0,80,3,2,4,1
5500.0,48,2,1,2,4
8000.0,165,4,3,1,0
7000.0,55,2,1,7,1
6800.0,64,2,1,1,1
10000.0,140,3,3,3,1
18000.0,180,4,3,5,1
8000.0,220,5,4,3,4
3900.0,39,1,1,2,0
7600.0,80,2,1,2,4
8000.0,120,5,3,4,1
3500.0,65,2,1,1,0
6000.0,70,4,2,4,1
3500.0,58,2,2,4,4
8500.0,116,4,3,2,1
25000.0,220,8,3,8,1
6000.0,34,2,1,2,1
8000.0,124,4,3,4,5
8000.0,1000,3,2,5,1
14000.0,137,4,3,4,1
7500.0,47,2,1,3,1
2200.0,56,3,2,4,1
2500.0,97,4,3,2,3
4000.0,72,3,2,1,4
4200.0,100,3,2,4,0
4500.0,76,4,2,2,1
4500.0,54,2,1,3,6
11000.0,120,3,2,4,0
20000.0,224,3,2,3,7
1800.0,68,3,2,2,8
7250.0,79,3,1,6,1
4000.0,80,2,2,2,5
4800.0,80,2,1,1,0
3000.0,62,1,1,2,9
5500.0,67,1,1,9,1
17000.0,300,8,4,2,0
3800.0,35,1,1,3,0
9000.0,156,4,3,1,0
2300.0,57,3,2,4,1
5300.0,85,5,1,4,1
4200.0,114,3,2,1,3
6800.0,57,2,1,3,1
7000.0,55,5,1,4,1
5000.0,44,2,1,1,6
2000.0,86,3,2,2,3
7000.0,85,3,2,5,0
17000.0,155,6,2,3,1
7000.0,90,4,2,1,0
180000.0,224,5,3,2,1
1300.0,13,2,1,2,1
7500.0,94,3,2,4,4
3000.0,73,2,1,3,0
6500.0,60,2,1,3,1
5500.0,45,2,1,3,1
6000.0,80,3,2,4,1
8500.0,84,6,2,2,1
7000.0,110,3,2,2,1
6000.0,137,2,2,1,1
6000.0,80,3,2,2,0
12000.0,143,3,3,2,1
5500.0,80,3,2,2,4
7200.0,100,3,2,5,1
12000.0,186,5,3,4,5
9000.0,98,2,1,3,1
5000.0,45,2,1,2,1
14000.0,164,7,3,1,10
3500.0,96,3,2,1,1
8000.0,70,2,1,4,0
14500.0,166,7,4,3,1
12000.0,100,3,2,4,1
8500.0,106,4,2,1,2
13500.0,145,6,3,2,2
7500.0,70,2,1,1,1
7500.0,90,5,2,3,1
5000.0,82,3,2,2,11
7500.0,120,2,2,20,11
10000.0,100,3,2,5,1
7000.0,60,2,1,4,0
4700.0,95,3,2,7,1
28000.0,220,4,2,4,1
8500.0,91,3,2,3,12
7500.0,93,6,2,1,1
8500.0,119,3,2,1,6
13000.0,150,5,3,4,10
17000.0,165,4,3,2,0
9000.0,148,4,2,4,0
3000.0,60,3,2,2,1
8500.0,142,3,2,4,4
4500.0,60,2,1,4,4
12500.0,140,4,3,1,1
6500.0,112,2,2,3,4
8500.0,190,3,2,1,1
3300.0,70,3,2,2,4
15000.0,187,4,3,5,1
8500.0,175,4,3,5,1
22000.0,200,4,3,5,1
6500.0,90,3,2,3,1
18000.0,180,4,3,5,1
9000.0,118,5,3,3,1
6000.0,136,5,3,5,3
20000.0,200,6,5,5,1
8500.0,94,7,2,1,4
2600.0,70,3,2,2,13
11000.0,90,3,2,2,1
2000.0,70,4,1,5,4
3150.0,59,3,2,1,1
3000.0,130,4,3,3,4
6500.0,93,3,2,3,4
6500.0,48,2,1,6,1
4000.0,82,4,2,3,1
15000.0,150,4,3,5,1
6000.0,80,3,2,3,4
6000.0,50,2,1,3,1
3500.0,80,4,3,3,4
3500.0,80,4,3,1,0
6000.0,120,3,2,3,4
4500.0,90,4,4,2,0
4000.0,60,2,1,2,1
8000.0,100,4,3,3,1
6000.0,80,3,2,3,0
7500.0,110,3,2,2,10
3500.0,94,4,3,4,14
4000.0,115,3,2,3,1
7000.0,80,3,2,2,1
8000.0,130,5,3,1,10
5000.0,47,2,1,3,1
13000.0,150,5,4,2,10
1800.0,40,2,1,1,15
6500.0,110,3,2,1,1
4000.0,76,3,2,3,16
2500.0,60,3,2,2,0
4000.0,51,3,2,2,5
3300.0,56,5,2,2,1
4000.0,110,4,3,3,0
10000.0,161,3,2,2,2
6500.0,78,3,2,3,10
11900.0,110,3,2,1,2
15900.0,113,3,2,4,1
12000.0,200,7,4,3,1
14000.0,150,4,2,4,0
25000.0,300,7,3,2,1
8500.0,50,2,1,5,1
16000.0,183,6,4,5,1
5000.0,50,2,1,3,1
11900.0,75,2,1,5,1
5200.0,55,5,1,4,1
3500.0,60,3,2,2,4
6500.0,55,2,1,3,1
17000.0,196,4,3,3,1
9000.0,75,3,2,2,1
8500.0,190,3,2,1,1
9000.0,120,4,3,3,1
10000.0,80,3,2,2,4
2000.0,65,3,3,3,17
4500.0,75,3,2,3,4
17500.0,228,5,3,1,0
17000.0,140,3,2,4,1
1800.0,75,2,2,2,18
11000.0,145,5,3,4,2
3600.0,50,2,1,3,1
15500.0,160,5,4,6,1
15000.0,140,5,3,3,0
10000.0,100,3,2,3,4
6500.0,94,3,2,2,1
14000.0,120,4,2,4,4
4500.0,70,3,2,2,1
3500.0,60,4,2,2,13
5000.0,70,2,2,5,1
3500.0,85,4,3,2,11
4500.0,137,3,2,1,1
4000.0,85,3,2,3,1
8500.0,150,5,3,4,1
18000.0,220,5,3,3,1
20000.0,220,5,3,3,1
3800.0,90,3,2,3,6
15000.0,120,5,3,5,0
4500.0,45,2,1,3,1
3200.0,75,3,2,1,11
18000.0,199,6,3,2,0
7000.0,81,3,2,3,1
5500.0,150,3,2,4,5
5500.0,57,2,1,5,4
4500.0,45,2,1,3,1
4000.0,80,2,2,2,4
5000.0,90,3,2,3,1
6000.0,110,3,2,2,0
10000.0,80,6,2,2,4
5000.0,50,2,1,3,1
4500.0,75,3,2,1,4
3300.0,80,3,2,1,16
3800.0,45,2,1,3,1
13500.0,40,5,3,1,2
15000.0,90,3,2,1,1
2600.0,64,3,2,2,1
7000.0,100,5,3,2,3
5000.0,50,2,1,5,1
3000.0,85,3,2,1,19
12500.0,119,3,2,5,1
3000.0,70,3,2,2,3
7000.0,60,2,1,4,1
11000.0,190,3,2,1,1
5000.0,65,2,1,3,1
6000.0,83,3,2,2,10
8500.0,103,3,2,2,1
6000.0,120,4,3,2,1
5500.0,50,2,1,3,4
3500.0,75,2,2,5,5
7000.0,75,3,2,2,1
8000.0,125,4,3,3,0
6500.0,130,3,2,3,4
3500.0,65,3,2,2,19
8000.0,61,1,1,3,1
7000.0,81,6,2,2,6
6500.0,120,3,2,3,4
22500.0,275,5,3,3,4
8500.0,96,3,2,4,0
3500.0,80,3,2,1,11
5000.0,53,1,1,2,17
1500.0,70,3,2,4,17
4000.0,60,2,1,3,6
3800.0,42,2,1,1,1
7000.0,87,3,2,1,1
3000.0,108,2,1,3,20
6500.0,96,3,2,2,4
9000.0,115,3,2,2,17
5500.0,83,4,2,3,1
8000.0,216,5,3,2,4
6500.0,90,3,2,3,1
8000.0,55,2,1,1,1
3000.0,160,4,2,3,21
5000.0,46,1,1,3,0
3500.0,58,3,2,3,17
11500.0,110,4,2,3,1
2800.0,120,4,3,1,21
12000.0,167,8,3,3,2
10000.0,165,4,3,2,1
7500.0,80,3,2,5,1
5400.0,80,3,2,3,1
15000.0,211,4,3,5,1
1700.0,64,2,2,3,4
3000.0,60,3,2,3,1
4800.0,55,2,1,3,1
8500.0,55,2,1,4,1
4800.0,60,3,1,2,1
11000.0,103,1,2,3,1
7800.0,105,3,2,5,1
4100.0,65,2,1,2,4
4000.0,65,2,1,2,4
6000.0,52,2,1,2,1
7000.0,99,3,2,2,1
6500.0,60,2,1,1,1
6500.0,80,3,2,2,1
8900.0,75,2,1,3,1
13000.0,220,5,3,3,1
19500.0,280,8,4,4,1
9500.0,120,3,2,4,2
10000.0,100,3,2,6,1
2700.0,100,3,2,3,1
14000.0,160,4,2,4,1
11000.0,100,3,2,4,0
6200.0,100,3,2,1,0
2000.0,67,3,2,1,1
3200.0,96,2,2,2,16
6000.0,80,3,2,2,0
7000.0,93,6,2,1,1
10000.0,400,5,3,1,0
6200.0,55,2,1,5,1
2900.0,61,2,1,4,1
30000.0,280,7,4,4,0
7000.0,60,3,1,4,1
8000.0,109,4,3,5,1
2500.0,68,1,1,3,0
7000.0,120,2,2,5,0
5000.0,110,4,3,4,0
9500.0,95,4,2,1,1
4500.0,45,2,1,3,1
6500.0,48,2,1,5,1
7000.0,150,5,4,1,0
3000.0,111,3,3,2,14
3300.0,100,3,2,5,3
9000.0,130,4,2,4,1
3700.0,78,3,2,1,11
7500.0,120,4,3,3,5
7000.0,84,4,2,5,1
5500.0,85,2,1,5,1
11800.0,103,3,2,6,1
5000.0,110,3,2,2,6
4000.0,121,4,2,2,16
5500.0,50,2,1,5,1
5500.0,55,2,1,4,1
5000.0,135,6,3,4,13
5500.0,130,3,2,3,1
9000.0,98,3,2,1,4
12000.0,120,4,3,5,1
10500.0,138,4,3,4,1
8500.0,81,7,2,4,1
25000.0,160,4,3,5,1
25000.0,204,6,4,6,1
7300.0,50,3,1,3,1
4000.0,75,3,2,5,17
5500.0,60,1,1,6,1
1500.0,30,2,1,3,1
9500.0,136,4,3,2,1
8000.0,55,2,1,3,1
3500.0,80,4,2,1,13
6000.0,114,3,2,3,3
6500.0,80,3,2,4,1
6200.0,69,2,1,3,1
12000.0,94,3,2,3,6
7000.0,92,2,2,3,11
20000.0,200,2,3,4,1
11500.0,104,3,2,3,2
8000.0,45,1,1,5,1
7000.0,53,2,1,1,1
7000.0,53,3,2,6,6
6000.0,45,2,1,4,1
7000.0,63,2,1,4,1
4000.0,96,2,2,4,14
2300.0,90,3,2,2,14
8000.0,126,4,3,2,0
12000.0,88,3,2,2,10
200.0,54,2,2,1,22
5500.0,168,5,3,4,14
9000.0,222,4,3,3,1
3500.0,30,2,1,3,0
7000.0,65,2,1,3,1
15000.0,140,4,2,2,0
4000.0,90,3,3,5,1
3600.0,60,3,2,3,1
3200.0,76,3,2,2,3
9000.0,120,3,3,1,16
3000.0,90,3,2,1,23
3000.0,58,3,2,2,1
4200.0,65,3,1,1,5
6500.0,48,2,1,5,1
7000.0,102,3,2,5,1
38000.0,64,3,2,1,1
2700.0,85,4,2,2,17
8000.0,110,4,3,3,4
5000.0,160,6,3,4,0
9000.0,170,5,3,3,0
2700.0,55,2,1,1,17
6000.0,70,2,2,2,1
6500.0,56,2,1,3,1
10000.0,120,3,2,2,4
6000.0,70,4,2,3,1
6000.0,53,2,1,2,1
5000.0,70,1,1,4,0
5900.0,88,2,1,3,1
16000.0,170,4,3,2,1
11000.0,130,5,3,4,1
11500.0,95,3,2,4,1
25000.0,180,4,3,3,1
4500.0,45,2,1,3,4
7000.0,72,3,2,3,1
23000.0,168,3,3,3,1
13000.0,132,4,3,2,1
5000.0,90,4,2,2,17
3300.0,67,3,2,4,19
4500.0,60,3,2,1,4
4500.0,71,3,2,5,4
7500.0,120,2,2,2,10
4500.0,73,3,2,1,4
5000.0,85,3,2,3,1
2500.0,90,2,2,3,1
2200.0,65,2,2,3,24
2800.0,65,1,1,3,0
10000.0,115,5,2,2,1
3700.0,112,3,3,3,11
5000.0,120,3,3,3,1
5500.0,92,5,3,3,1
8900.0,75,2,1,3,1
7500.0,60,2,1,1,1
4500.0,57,3,2,2,4
11500.0,190,4,3,3,1
4800.0,100,5,3,3,1
15000.0,160,5,3,2,0
5500.0,96,4,3,5,17
12500.0,150,4,3,4,0
3900.0,86,3,2,1,17
5000.0,55,2,1,2,1
3000.0,90,3,2,2,4
7700.0,140,5,3,4,1
2900.0,68,3,2,1,16
4250.0,112,3,2,3,5
5500.0,95,3,2,2,5
5000.0,100,3,2,6,1
5000.0,80,3,2,3,17
4500.0,100,3,3,3,4
10000.0,160,4,3,3,2
7000.0,100,3,2,1,0
2500.0,56,3,2,3,4
4000.0,80,4,2,2,5
3100.0,64,1,1,2,16
9500.0,78,2,1,3,4
6000.0,179,3,3,4,3
26000.0,300,4,3,3,4
25000.0,216,5,3,5,0
9500.0,145,4,2,4,0
6800.0,64,2,1,1,1
5000.0,60,1,1,3,0
500000.0,90,4,2,2,24
4500.0,35,2,1,3,0
15990.0,200,4,2,4,1
4000.0,42,2,1,5,4
6000.0,96,3,2,2,4
6800.0,85,3,2,4,10
2500.0,70,2,1,2,13
7000.0,86,3,2,1,0
5000.0,103,3,3,2,25
5000.0,96,3,2,1,1
5000.0,50,2,1,1,1
3000.0,66,5,3,1,6
5300.0,76,3,2,2,1
6000.0,120,3,2,3,1
7000.0,130,4,3,4,1
6000.0,90,4,3,3,1
3600.0,130,4,3,2,14
12000.0,143,4,3,1,1
4000.0,90,4,3,2,11
15000.0,250,5,4,2,1
6500.0,120,4,3,3,1
6200.0,110,4,2,3,1
6000.0,100,3,2,3,1
7500.0,50,2,1,3,1
5000.0,75,1,2,2,1
6000.0,74,3,2,6,0
5300.0,138,4,2,4,0
7000.0,141,3,2,4,1
12000.0,160,4,3,3,1
5000.0,50,2,1,4,1
135000.0,140,2,3,3,1
4000.0,85,2,2,1,5
7000.0,56,2,1,3,1
5600.0,75,3,2,1,4
15000.0,210,5,4,5,5
6800.0,80,3,2,1,4
