prix en MAD,emplacement,surface en m²,nombre des pièces,nombre des chambres,numéro d'étage
15000, Rabat Rabat-Salé-Zemmour-Zaër,170,5,3,1
8500, Casablanca Casablanca-Settat,95,3,2,
10000, Bouskoura Casablanca-Settat,140,4,3,2
3700, Kénitra Rabat-Salé-Zemmour-Zaër,80,3,2,2
6500, Casablanca Casablanca-Settat,80,3,2,4
5500, Marrakech Marrakech-Safi,48,2,1,2
8000, Rabat Rabat-Salé-Zemmour-Zaër,165,4,3,1
7000, Casablanca Casablanca-Settat,55,2,1,7
6800, Casablanca Casablanca-Settat,64,2,1,1
10000, Casablanca Casablanca-Settat,140,3,3,
18000, Casablanca Casablanca-Settat,180,4,3,
8000, Marrakech Marrakech-Safi,220,5,4,
3900, Rabat Rabat-Salé-Zemmour-Zaër,39,1,1,
7600, Marrakech Marrakech-Safi,80,2,1,2
0, Ouarzazate Darâa-Tafilalet,100,3,2,
8000, Casablanca Casablanca-Settat,120,5,3,
3500, Rabat Rabat-Salé-Zemmour-Zaër,65,2,1,1
6000, Casablanca Casablanca-Settat,70,4,2,4
3500, Marrakech Marrakech-Safi,58,2,2,
0, Asilah Tanger-Tétouan-Al Hoceima,90,2,2,3
8500, Casablanca Casablanca-Settat,116,4,3,2
25000, Casablanca Casablanca-Settat,220,8,3,8
6000, Casablanca Casablanca-Settat,34,2,1,
8000, Tanger Tanger-Tétouan-Al Hoceima,124,4,3,
8000, Casablanca Casablanca-Settat,1000,3,2,5
14000, Casablanca Casablanca-Settat,137,4,3,
7500, Casablanca Casablanca-Settat,47,2,1,
2200, Casablanca Casablanca-Settat,56,3,2,4
2500, Kénitra Rabat-Salé-Zemmour-Zaër,97,4,3,2
4000, Marrakech Marrakech-Safi,72,3,2,1
4200, Rabat Rabat-Salé-Zemmour-Zaër,100,3,2,4
4500, Casablanca Casablanca-Settat,76,4,2,2
4500, Mohammedia Casablanca-Settat,54,2,1,3
11000, Rabat Rabat-Salé-Zemmour-Zaër,120,3,2,4
20000, Sidi Bouknadel Rabat-Salé-Zemmour-Zaër,,3,2,
1800, Martil Tanger-Tétouan-Al Hoceima,68,3,2,2
7250, Casablanca Casablanca-Settat,79,3,1,6
4000, Tanger Tanger-Tétouan-Al Hoceima,80,2,2,2
4800, Rabat Rabat-Salé-Zemmour-Zaër,80,2,1,1
3000, Oujda L'Oriental,,1,1,
5500, Casablanca Casablanca-Settat,67,1,1,9
17000, Rabat Rabat-Salé-Zemmour-Zaër,300,8,4,
3800, Rabat Rabat-Salé-Zemmour-Zaër,35,1,1,3
9000, Rabat Rabat-Salé-Zemmour-Zaër,156,4,3,1
2300, Casablanca Casablanca-Settat,57,3,2,4
0,,,,,
5300, Casablanca Casablanca-Settat,85,5,1,4
4200, Kénitra Rabat-Salé-Zemmour-Zaër,114,3,2,1
6800, Casablanca Casablanca-Settat,57,2,1,
7000, Casablanca Casablanca-Settat,55,5,1,4
5000, Mohammedia Casablanca-Settat,44,2,1,1
2000, Kénitra Rabat-Salé-Zemmour-Zaër,86,3,2,2
7000, Rabat Rabat-Salé-Zemmour-Zaër,85,3,2,5
17000, Casablanca Casablanca-Settat,155,6,2,
7000, Rabat Rabat-Salé-Zemmour-Zaër,90,4,2,1
180000, Casablanca Casablanca-Settat,224,5,3,2
1300, Casablanca Casablanca-Settat,13,2,1,
7500, Marrakech Marrakech-Safi,94,3,2,4
3000, Rabat Rabat-Salé-Zemmour-Zaër,73,2,1,
6500, Casablanca Casablanca-Settat,60,2,1,3
5500, Casablanca Casablanca-Settat,45,2,1,3
6000, Casablanca Casablanca-Settat,80,3,2,4
8500, Casablanca Casablanca-Settat,84,6,2,2
7000, Casablanca Casablanca-Settat,110,3,2,2
6000, Casablanca Casablanca-Settat,137,2,2,1
0, Fès Fès-Meknès,126,4,3,
6000, Rabat Rabat-Salé-Zemmour-Zaër,80,3,2,2
12000, Casablanca Casablanca-Settat,143,3,3,2
5500, Marrakech Marrakech-Safi,80,3,2,
7200, Casablanca Casablanca-Settat,100,3,2,5
12000, Tanger Tanger-Tétouan-Al Hoceima,186,5,3,4
9000, Casablanca Casablanca-Settat,98,2,1,3
5000, Casablanca Casablanca-Settat,45,2,1,2
14000, Dar Bouazza Casablanca-Settat,164,7,3,1
0, Casablanca Casablanca-Settat,64,3,2,1
3500, Casablanca Casablanca-Settat,96,3,2,1
8000, Rabat Rabat-Salé-Zemmour-Zaër,70,2,1,4
14500, Casablanca Casablanca-Settat,,7,4,
12000, Casablanca Casablanca-Settat,100,3,2,
8500, Bouskoura Casablanca-Settat,,4,2,1
13500, Bouskoura Casablanca-Settat,,6,3,2
7500, Casablanca Casablanca-Settat,70,2,1,1
7500, Casablanca Casablanca-Settat,90,5,2,3
5000, Temara Rabat-Salé-Zemmour-Zaër,82,3,2,2
7500, Temara Rabat-Salé-Zemmour-Zaër,120,2,2,20
10000, Casablanca Casablanca-Settat,100,3,2,
7000, Rabat Rabat-Salé-Zemmour-Zaër,60,2,1,
4700, Casablanca Casablanca-Settat,95,3,2,7
28000, Casablanca Casablanca-Settat,220,4,2,
8500, El Mansouria Casablanca-Settat,91,3,2,3
7500, Casablanca Casablanca-Settat,93,6,2,1
8500, Mohammedia Casablanca-Settat,119,3,2,1
13000, Dar Bouazza Casablanca-Settat,150,5,3,
17000, Rabat Rabat-Salé-Zemmour-Zaër,165,4,3,2
0, Marrakech Marrakech-Safi,91,2,2,1
9000, Rabat Rabat-Salé-Zemmour-Zaër,148,4,2,4
3000, Casablanca Casablanca-Settat,60,3,2,2
8500, Marrakech Marrakech-Safi,142,3,2,
4500, Marrakech Marrakech-Safi,60,2,1,4
12500, Casablanca Casablanca-Settat,140,4,3,1
6500, Marrakech Marrakech-Safi,112,,,
8500, Casablanca Casablanca-Settat,190,3,2,1
3300, Marrakech Marrakech-Safi,70,3,2,2
15000, Casablanca Casablanca-Settat,187,4,3,5
8500, Casablanca Casablanca-Settat,175,4,3,5
22000, Casablanca Casablanca-Settat,200,4,3,5
6500, Casablanca Casablanca-Settat,90,3,2,3
18000, Casablanca Casablanca-Settat,180,4,3,5
9000, Casablanca Casablanca-Settat,118,5,3,
6000, Kénitra Rabat-Salé-Zemmour-Zaër,136,5,3,5
20000, Casablanca Casablanca-Settat,200,6,5,5
8500, Marrakech Marrakech-Safi,,7,2,1
2600, Fès Fès-Meknès,70,3,2,
11000, Casablanca Casablanca-Settat,90,3,2,2
2000, Marrakech Marrakech-Safi,70,4,1,
3150, Casablanca Casablanca-Settat,,3,2,1
3000, Marrakech Marrakech-Safi,130,4,3,
0, Casablanca Casablanca-Settat,144,4,3,2
6500, Marrakech Marrakech-Safi,93,3,2,
6500, Casablanca Casablanca-Settat,48,2,1,6
4000, Casablanca Casablanca-Settat,82,4,2,3
15000, Casablanca Casablanca-Settat,150,4,3,5
6000, Marrakech Marrakech-Safi,80,3,2,
6000, Casablanca Casablanca-Settat,50,2,1,3
3500, Marrakech Marrakech-Safi,80,4,3,3
3500, Rabat Rabat-Salé-Zemmour-Zaër,80,4,3,1
6000, Marrakech Marrakech-Safi,120,3,2,
4500, Rabat Rabat-Salé-Zemmour-Zaër,90,4,4,2
4000, Casablanca Casablanca-Settat,60,2,1,
8000, Casablanca Casablanca-Settat,100,4,3,
6000, Rabat Rabat-Salé-Zemmour-Zaër,80,3,2,3
7500, Dar Bouazza Casablanca-Settat,110,3,2,2
3500, Meknes Fès-Meknès,94,4,3,4
4000, Casablanca Casablanca-Settat,115,3,2,
7000, Casablanca Casablanca-Settat,80,3,2,2
8000, Dar Bouazza Casablanca-Settat,130,5,3,1
5000, Casablanca Casablanca-Settat,47,2,1,3
13000, Dar Bouazza Casablanca-Settat,150,5,4,2
1800, Benslimane Casablanca-Settat,40,2,1,1
6500, Casablanca Casablanca-Settat,110,3,2,1
4000, Salé Rabat-Salé-Zemmour-Zaër,76,3,2,3
2500, Rabat Rabat-Salé-Zemmour-Zaër,60,3,2,
4000, Tanger Tanger-Tétouan-Al Hoceima,51,3,2,2
3300, Casablanca Casablanca-Settat,56,5,2,2
4000, Rabat Rabat-Salé-Zemmour-Zaër,110,4,3,3
10000, Bouskoura Casablanca-Settat,161,3,2,
6500, Dar Bouazza Casablanca-Settat,78,3,2,
11900, Bouskoura Casablanca-Settat,110,3,2,1
0, Rabat Rabat-Salé-Zemmour-Zaër,53,1,2,
0, Bouznika Casablanca-Settat,85,4,3,3
15900, Casablanca Casablanca-Settat,113,3,2,
12000, Casablanca Casablanca-Settat,200,7,4,
14000, Rabat Rabat-Salé-Zemmour-Zaër,150,4,2,4
25000, Casablanca Casablanca-Settat,300,7,3,
8500, Casablanca Casablanca-Settat,50,2,1,5
16000, Casablanca Casablanca-Settat,183,6,4,5
5000, Casablanca Casablanca-Settat,50,2,1,3
11900, Casablanca Casablanca-Settat,75,2,1,
5200, Casablanca Casablanca-Settat,55,5,1,4
3500, Marrakech Marrakech-Safi,60,3,2,2
6500, Casablanca Casablanca-Settat,55,2,1,3
17000, Casablanca Casablanca-Settat,196,4,3,3
9000, Casablanca Casablanca-Settat,75,3,2,2
8500, Casablanca Casablanca-Settat,190,3,2,1
9000, Casablanca Casablanca-Settat,120,4,3,
10000, Marrakech Marrakech-Safi,80,3,2,
2000, Agadir Souss-Massaa,65,3,3,
4500, Marrakech Marrakech-Safi,75,3,2,3
17500, Rabat Rabat-Salé-Zemmour-Zaër,228,5,3,1
17000, Casablanca Casablanca-Settat,140,3,2,4
1800, Asilah Tanger-Tétouan-Al Hoceima,75,2,2,2
11000, Bouskoura Casablanca-Settat,145,5,3,
0, Casablanca Casablanca-Settat,30,4,2,4
3600, Casablanca Casablanca-Settat,50,2,1,3
15500, Casablanca Casablanca-Settat,160,5,4,
15000, Rabat Rabat-Salé-Zemmour-Zaër,140,5,3,3
10000, Marrakech Marrakech-Safi,100,3,2,
0, Tanger Tanger-Tétouan-Al Hoceima,85,1,2,6
0, Casablanca Casablanca-Settat,52,3,2,4
0,,,,,
6500, Casablanca Casablanca-Settat,94,3,2,2
14000, Marrakech Marrakech-Safi,120,4,2,
0, Casablanca Casablanca-Settat,50,2,1,3
4500, Casablanca Casablanca-Settat,70,3,2,2
3500, Fès Fès-Meknès,60,4,2,2
5000, Casablanca Casablanca-Settat,70,2,2,5
3500, Temara Rabat-Salé-Zemmour-Zaër,85,4,3,2
4500, Casablanca Casablanca-Settat,137,3,2,1
4000, Casablanca Casablanca-Settat,85,3,2,
0, Casablanca Casablanca-Settat,60,2,3,
8500, Casablanca Casablanca-Settat,150,5,3,4
18000, Casablanca Casablanca-Settat,220,5,3,3
20000, Casablanca Casablanca-Settat,220,5,3,3
3800, Mohammedia Casablanca-Settat,90,3,2,
15000, Rabat Rabat-Salé-Zemmour-Zaër,120,5,3,5
4500, Casablanca Casablanca-Settat,45,2,1,3
3200, Temara Rabat-Salé-Zemmour-Zaër,75,3,2,1
18000, Rabat Rabat-Salé-Zemmour-Zaër,199,6,3,2
7000, Casablanca Casablanca-Settat,81,3,2,3
5500, Tanger Tanger-Tétouan-Al Hoceima,150,3,2,4
5500, Marrakech Marrakech-Safi,57,2,1,
0, Temara Rabat-Salé-Zemmour-Zaër,120,4,3,
4500, Casablanca Casablanca-Settat,45,2,1,3
4000, Marrakech Marrakech-Safi,80,2,2,
5000, Casablanca Casablanca-Settat,90,3,2,
6000, Rabat Rabat-Salé-Zemmour-Zaër,110,3,2,2
10000, Marrakech Marrakech-Safi,80,6,2,
5000, Casablanca Casablanca-Settat,50,2,1,
4500, Marrakech Marrakech-Safi,75,3,2,1
3300, Salé Rabat-Salé-Zemmour-Zaër,80,3,2,1
3800, Casablanca Casablanca-Settat,45,2,1,3
13500, Bouskoura Casablanca-Settat,40,5,3,1
15000, Casablanca Casablanca-Settat,90,3,2,1
2600, Casablanca Casablanca-Settat,64,3,2,2
7000, Kénitra Rabat-Salé-Zemmour-Zaër,100,5,3,2
5000, Casablanca Casablanca-Settat,50,2,1,5
3000, Bouznika Casablanca-Settat,85,3,2,1
12500, Casablanca Casablanca-Settat,119,3,2,5
3000, Kénitra Rabat-Salé-Zemmour-Zaër,70,3,2,2
7000, Casablanca Casablanca-Settat,60,2,1,
11000, Casablanca Casablanca-Settat,190,3,2,1
5000, Casablanca Casablanca-Settat,65,2,1,3
6000, Dar Bouazza Casablanca-Settat,83,3,2,2
8500, Casablanca Casablanca-Settat,103,3,2,2
6000, Casablanca Casablanca-Settat,120,4,3,2
0, Rabat Rabat-Salé-Zemmour-Zaër,220,5,3,
0, Rabat Rabat-Salé-Zemmour-Zaër,220,5,3,
0, Rabat Rabat-Salé-Zemmour-Zaër,200,1,1,3
0,,,,,
5500, Marrakech Marrakech-Safi,50,2,1,3
3500, Tanger Tanger-Tétouan-Al Hoceima,75,2,2,5
7000, Casablanca Casablanca-Settat,75,3,2,2
8000, Rabat Rabat-Salé-Zemmour-Zaër,125,4,3,
6500, Marrakech Marrakech-Safi,130,3,2,
3500, Bouznika Casablanca-Settat,65,3,2,2
8000, Casablanca Casablanca-Settat,61,1,1,3
7000, Mohammedia Casablanca-Settat,81,6,2,2
6500, Marrakech Marrakech-Safi,120,3,2,
22500, Marrakech Marrakech-Safi,275,5,3,3
8500, Rabat Rabat-Salé-Zemmour-Zaër,96,3,2,4
0, Casablanca Casablanca-Settat,88,4,3,
3500, Temara Rabat-Salé-Zemmour-Zaër,80,3,2,1
5000, Agadir Souss-Massaa,53,1,1,2
1500, Agadir Souss-Massaa,70,3,2,4
4000, Mohammedia Casablanca-Settat,60,2,1,3
0, Marrakech Marrakech-Safi,70,3,2,1
3800, Casablanca Casablanca-Settat,42,2,1,1
0, Marrakech Marrakech-Safi,,,,
7000, Casablanca Casablanca-Settat,87,3,2,1
0, Mohammedia Casablanca-Settat,100,7,3,1
3000, Tit Mellil Casablanca-Settat,108,2,1,
6500, Marrakech Marrakech-Safi,96,3,2,2
9000, Agadir Souss-Massaa,115,3,2,2
5500, Casablanca Casablanca-Settat,83,4,2,3
8000, Marrakech Marrakech-Safi,216,5,3,2
6500, Casablanca Casablanca-Settat,90,3,2,
8000, Casablanca Casablanca-Settat,55,2,1,1
3000, Béni Mellal Béni Mellal-Khénifra,160,4,2,
5000, Rabat Rabat-Salé-Zemmour-Zaër,46,1,1,
3500, Agadir Souss-Massaa,58,3,2,3
11500, Casablanca Casablanca-Settat,110,4,2,
2800, Béni Mellal Béni Mellal-Khénifra,120,4,3,1
12000, Bouskoura Casablanca-Settat,167,8,3,
10000, Casablanca Casablanca-Settat,165,4,3,2
7500, Casablanca Casablanca-Settat,80,3,2,
5400, Casablanca Casablanca-Settat,80,3,2,3
15000, Casablanca Casablanca-Settat,211,4,3,5
1700, Marrakech Marrakech-Safi,64,2,2,3
3000, Casablanca Casablanca-Settat,60,3,2,3
